Date,Open,High,Low,Close,Turnover (Rs. Cr)
26-May-98,1123.15,1123.15,1101.55,1104.45,862.84
27-May-98,1104.05,1107.2,1089,1090.95,1301.51
28-May-98,1090.5,1097,1073.3,1075.55,1141.68
29-May-98,1075.35,1077.15,1037.95,1063.15,1418.23
01-Jun-98,1064.1,1100,1049.4,1053.75,1390.99
02-Jun-98,1053.4,1053.65,1016.25,1019.6,1436.96
03-Jun-98,1019.35,1037.3,1009.95,1033.9,1186.38
04-Jun-98,1034.1,1044.4,1023.35,1027,875.5
05-Jun-98,1026.6,1026.6,989.2,993.5,1122.6
08-Jun-98,993.5,1003.15,936.55,968.6,1359.97
09-Jun-98,968.9,1002.45,964.7,995.05,944.9
10-Jun-98,994.55,998.65,959.6,962.9,942.93
11-Jun-98,962.15,964.65,929.95,961.35,916.89
12-Jun-98,961.6,987.3,961.6,971.15,796.89
15-Jun-98,970.95,970.95,914.3,916.8,737.13
16-Jun-98,916.25,916.25,862.15,910.1,933.46
17-Jun-98,910.9,980.3,910.9,976.5,710.69
18-Jun-98,977,990.15,952.65,956.15,719.42
19-Jun-98,955.05,955.05,910.55,913.25,676.65
22-Jun-98,912.9,912.9,853.3,880.2,697.27
23-Jun-98,882.2,882.2,853.05,875.6,748.19
24-Jun-98,875.45,910.05,873.6,908.5,583.74
25-Jun-98,908.65,939.15,908.65,932.15,664.41
26-Jun-98,931.8,932.5,914.45,924.35,535.71
29-Jun-98,923.2,951.2,916.65,949.1,585.7
30-Jun-98,949.45,952.75,933,941.65,685.64
01-Jul-98,941.6,945.55,916.5,942.25,612.7
02-Jul-98,941.65,941.65,918.1,919.9,510.06
03-Jul-98,920.05,920.05,898.65,900.55,528.55
06-Jul-98,901,919.5,900.9,917.35,557.33
07-Jul-98,917.45,936,917.45,924.7,811.11
08-Jul-98,925.15,948.3,924.95,944.15,790.73
09-Jul-98,944.1,966.1,944.1,961.05,878.95
10-Jul-98,961.65,982.2,961.65,980.15,920.27
13-Jul-98,980.3,991.7,959.4,964.35,936.48
14-Jul-98,964.1,970.3,954.5,967.35,678.58
15-Jul-98,968.05,988.55,968.05,971.4,760.3
16-Jul-98,972,1005.9,969.55,1004.05,1077.81
17-Jul-98,1005.1,1015.55,996.6,1000.95,1084.24
20-Jul-98,1001.9,1002.4,973.75,977.3,666.38
21-Jul-98,977.65,983.4,960.85,965.5,834.42
22-Jul-98,965.55,976.5,959.5,965.7,618.43
23-Jul-98,965.35,965.35,931.75,934.4,760.54
24-Jul-98,933.5,934.75,915.5,920.1,709.01
27-Jul-98,919.4,929.45,895.85,899.35,665.11
28-Jul-98,899.1,920,897.65,917.25,761.09
29-Jul-98,917.4,940.15,917.4,937.85,784.71
30-Jul-98,938.15,949.85,926.8,932.6,798.04
31-Jul-98,932.6,939.6,925.25,931.4,867.53
03-Aug-98,930.8,930.8,903.5,906,598.6
04-Aug-98,905.65,913.45,903.15,906.2,602.15
05-Aug-98,905.65,911.8,890.95,907.45,586.79
06-Aug-98,907.9,919,900.2,902.75,807.03
07-Aug-98,902.75,903.55,892.9,895.55,608.74
10-Aug-98,895.15,895.15,877.55,878.75,510.61
11-Aug-98,878.7,878.7,863.65,866.5,532.43
12-Aug-98,866.35,871.4,853.1,860.1,609.36
13-Aug-98,859.8,878.4,854.5,872.25,644.89
14-Aug-98,872.85,876.8,863.55,864.1,434.83
17-Aug-98,864.35,873.2,853.05,854.55,534.62
18-Aug-98,854.55,854.8,831.1,832.45,613.35
19-Aug-98,832.85,853.9,830.15,838.3,737.06
20-Aug-98,839.3,871.15,839.3,868.7,794.22
21-Aug-98,868.55,871.15,853.4,855.45,802.82
24-Aug-98,855.2,860.95,845.35,859.8,565.86
25-Aug-98,859.85,874.15,859.85,871.9,670.58
27-Aug-98,872.15,889.7,872.15,877.45,901.05
28-Aug-98,877.15,877.15,847.15,849.8,841.69
31-Aug-98,850.3,858.6,841.1,852.8,543.6
01-Sep-98,852.75,852.75,832.05,834.55,721.45
02-Sep-98,834.55,847.95,834.55,842.5,432.27
03-Sep-98,842.3,852.05,838.75,846.45,608.08
04-Sep-98,846.9,868.05,846.9,866.5,970.52
07-Sep-98,866.9,889.45,866.9,887.1,797.71
08-Sep-98,887.25,902.05,882.6,899.95,773.17
09-Sep-98,900.2,916.8,900.2,903.6,782.96
10-Sep-98,903.15,913.2,897.35,907.4,706.39
11-Sep-98,907.1,907.1,893.3,899.7,633.85
14-Sep-98,900.2,921.65,900.2,920.5,761.49
15-Sep-98,920.1,923.2,915.6,920.8,666.25
16-Sep-98,921.4,926.55,912.6,914.5,685.95
17-Sep-98,914.45,919.95,908.55,910.1,543.29
18-Sep-98,910,910,899.95,901.65,650.12
21-Sep-98,902.1,908.05,895.85,897.7,731.23
22-Sep-98,897.85,900.8,891.4,897.25,704.98
23-Sep-98,897.9,910.75,897.9,907.75,477.18
24-Sep-98,908.2,936.5,908.2,934.8,1067.2
25-Sep-98,935.3,945.25,933,934.95,937.67
28-Sep-98,935.6,941.45,926,927.9,808.57
29-Sep-98,928.3,932.5,902.4,908.4,693.4
30-Sep-98,908.3,912.25,896.05,904.95,617.15
05-Oct-98,904.75,904.75,839.3,840.75,641.23
06-Oct-98,839.95,848.2,820.1,845.75,716.41
07-Oct-98,846.15,875.75,846.05,874.25,825.34
08-Oct-98,874.65,885.25,845.1,847.95,1126.73
09-Oct-98,847.95,861.55,842.1,849.1,860.94
12-Oct-98,849.7,860.9,832.1,835.8,793.11
13-Oct-98,835.45,835.75,810,816.75,847
14-Oct-98,816.55,846.75,816.55,843.55,751.49
15-Oct-98,843.65,845.9,832.1,835.65,750.33
16-Oct-98,836.25,844.7,829.25,839.5,698.22
19-Oct-98,839.7,840,830.1,831.25,211.66
20-Oct-98,831.15,831.45,803.3,808.7,702.51
22-Oct-98,809.3,825.2,805.7,811.6,695.03
23-Oct-98,811.85,820.35,804.7,817.35,855.85
26-Oct-98,817.6,854.1,817.6,845.25,825.84
27-Oct-98,845.45,848.25,835.7,841.6,725.11
28-Oct-98,842.8,857.75,831.55,833.85,866.96
29-Oct-98,833.55,834,818.95,832.25,680.78
30-Oct-98,832.65,839.2,826.85,828.85,909.8
31-Oct-98,828.25,828.25,819.85,824,246.02
02-Nov-98,824.2,829.1,812.3,823.2,768.11
03-Nov-98,823.2,825.3,818.6,820.9,737.1
05-Nov-98,821.35,830.4,821.35,829.15,572.75
06-Nov-98,829.2,842.15,829.2,840.8,755.17
09-Nov-98,841.3,870.5,841.3,864.65,854.45
10-Nov-98,864.8,871.6,859.7,868.7,691.26
11-Nov-98,869.45,882.1,866.6,868.85,857.7
12-Nov-98,868.45,874.2,857.2,871.75,840.33
13-Nov-98,871.7,877.25,865,867.25,894.8
16-Nov-98,866.5,866.5,854.3,855.35,602.88
